month;day;hour;PM_10_standar;PM_25_standar;PM_100_standar;PM_10_env;PM_25_env;PM_100_env;particles_03um;particles_05um;particles_10um;particles_25um;particles_50um;particles_100um;voltaje;-;Total_imsis;Las Factory;Burgo Centro;Carlos Sainz;Viento_fuerte;weekday
9;24;12;7.146788990825688;9.009174311926605;9.743119266055047;7.146788990825688;9.009174311926605;9.743119266055047;1291.3761467889908;380.38532110091745;47.20183486238532;4.3577981651376145;0.7431192660550459;0.22018348623853212;4.885412844036697;0.0;0.0;0.0;0.0;0.0;0;5
9;24;13;6.779036827195467;8.291784702549576;8.660056657223796;6.779036827195467;8.291784702549576;8.660056657223796;1268.0991501416431;372.1926345609065;40.56940509915014;2.688385269121813;0.43626062322946174;0.10764872521246459;4.86985835694051;0.0;0.0;0.0;0.0;0.0;0;5
9;24;14;6.590116279069767;7.877906976744186;8.186046511627907;6.590116279069767;7.877906976744186;8.186046511627907;1223.25;359.76453488372096;35.116279069767444;2.4186046511627906;0.3808139534883721;0.11627906976744186;4.8774999999999995;0.0;0.0;0.0;0.0;0.0;0;5
9;24;15;5.148571428571429;6.291428571428572;6.605714285714286;5.148571428571429;6.285714285714286;6.605714285714286;1026.1971428571428;300.7885714285714;28.834285714285713;2.277142857142857;0.34;0.07142857142857142;4.871485714285714;0.0;0.0;0.0;0.0;0.0;0;5
9;24;16;4.110795454545454;4.701704545454546;4.8977272727272725;4.110795454545454;4.701704545454546;4.8977272727272725;847.2698863636364;247.01136363636363;18.286931818181817;1.3806818181818181;0.19602272727272727;0.05965909090909091;4.871392045454545;0.0;0.0;0.0;0.0;0.0;0;5
9;24;17;2.772727272727273;3.241477272727273;3.4232954545454546;2.772727272727273;3.241477272727273;3.4232954545454546;657.4005681818181;189.0284090909091;12.53125;1.15625;0.17329545454545456;0.048295454545454544;4.8673863636363635;0.0;0.0;0.0;0.0;0.0;0;5
9;24;18;0.7207977207977208;0.8490028490028491;0.9287749287749287;0.7207977207977208;0.8490028490028491;0.9287749287749287;321.3162393162393;90.07407407407408;3.8632478632478633;0.5783475783475783;0.09971509971509972;0.02564102564102564;4.90062678062678;0.0;0.0;0.0;0.0;0.0;0;5
9;24;19;0.08781869688385269;0.16997167138810199;0.2237960339943343;0.08781869688385269;0.16997167138810199;0.2237960339943343;185.93201133144476;50.42492917847026;2.093484419263456;0.5410764872521246;0.0764872521246459;0.028328611898016998;4.900198300283286;0.0;0.0;0.0;0.0;0.0;0;5
9;24;20;0.15669515669515668;0.3162393162393162;0.38746438746438744;0.15669515669515668;0.3162393162393162;0.38746438746438744;214.71794871794873;59.042735042735046;2.452991452991453;0.5868945868945868;0.09971509971509972;0.022792022792022793;4.8975498575498575;0.0;0.0;0.0;0.0;0.0;0;5
9;24;21;0.38920454545454547;0.5795454545454546;0.6590909090909091;0.38920454545454547;0.5795454545454546;0.6590909090909091;261.1448863636364;71.4715909090909;3.6079545454545454;0.6761363636363636;0.09943181818181818;0.017045454545454544;4.893238636363637;0.0;0.0;0.0;0.0;0.0;0;5
9;24;22;0.12215909090909091;0.17613636363636365;0.2471590909090909;0.12215909090909091;0.17613636363636365;0.2471590909090909;176.92329545454547;48.19886363636363;1.84375;0.3806818181818182;0.10795454545454546;0.045454545454545456;4.8862784090909095;0.0;0.0;0.0;0.0;0.0;0;5
9;24;23;0.0;0.0;0.008522727272727272;0.0;0.0;0.008522727272727272;71.7528409090909;18.602272727272727;0.6647727272727273;0.21022727272727273;0.03409090909090909;0.017045454545454544;4.847301136363637;0.0;0.0;0.0;0.0;0.0;0;5
9;25;0;0.0;0.008522727272727272;0.017045454545454544;0.0;0.008522727272727272;0.017045454545454544;82.52556818181819;22.298295454545453;0.7869318181818182;0.23295454545454544;0.03125;0.005681818181818182;4.8591477272727275;0.0;0.0;0.0;0.0;0.0;0;6
9;25;1;0.0;0.0;0.011363636363636364;0.0;0.0;0.011363636363636364;42.72443181818182;11.133522727272727;0.4318181818181818;0.19886363636363635;0.05965909090909091;0.011363636363636364;4.868153409090909;0.0;0.0;0.0;0.0;0.0;0;6
9;25;2;0.0;0.0;0.0;0.0;0.0;0.0;35.70170454545455;8.957386363636363;0.3181818181818182;0.17045454545454544;0.03409090909090909;0.011363636363636364;4.872897727272727;0.0;0.0;0.0;0.0;0.0;0;6
9;25;3;0.0;0.0;0.014245014245014245;0.0;0.0;0.014245014245014245;43.23076923076923;11.142450142450143;0.35327635327635326;0.1396011396011396;0.05698005698005698;0.022792022792022793;4.865897435897436;0.0;0.0;0.0;0.0;0.0;0;6
9;25;4;0.0;0.0;0.005681818181818182;0.0;0.0;0.005681818181818182;50.47159090909091;13.232954545454545;0.3835227272727273;0.1278409090909091;0.028409090909090908;0.005681818181818182;4.870198863636364;0.0;0.0;0.0;0.0;0.0;0;6
9;25;5;0.0;0.0;0.0;0.0;0.0;0.0;51.61363636363637;13.369318181818182;0.34375;0.09375;0.011363636363636364;0.0;4.870028409090909;0.0;0.0;0.0;0.0;0.0;0;6
9;25;6;0.0;0.0;0.0;0.0;0.0;0.0;46.40625;12.125;0.28125;0.11363636363636363;0.019886363636363636;0.014204545454545454;4.854403409090909;0.0;0.0;0.0;0.0;0.0;0;6
9;25;7;0.0;0.0;0.011363636363636364;0.0;0.0;0.011363636363636364;50.44602272727273;13.036931818181818;0.3352272727272727;0.1875;0.05113636363636364;0.017045454545454544;4.851619318181818;0.0;0.0;0.0;0.0;0.0;0;6
